,Date,Close,weekly_return
0,2022/3/13,37849.66406,
1,2022/3/20,41247.82422,0.089780458
2,2022/3/27,46820.49219,0.135102107
3,2022/4/3,46453.56641,-0.007836863
4,2022/4/10,42207.67188,-0.09140083
5,2022/4/17,39716.95313,-0.059011043
6,2022/4/24,39469.29297,-0.006235628
7,2022/5/1,38469.09375,-0.025341199
8,2022/5/8,34059.26563,-0.114633013
9,2022/5/15,31305.11328,-0.080863527
10,2022/5/22,30323.72266,-0.031349212
11,2022/5/29,29445.95703,-0.0289465
12,2022/6/5,29906.66211,0.015645784
13,2022/6/12,26762.64844,-0.105127535
14,2022/6/19,20553.27148,-0.232016535
15,2022/6/26,21027.29492,0.023063162
16,2022/7/3,19297.07617,-0.082284419
17,2022/7/10,20860.44922,0.081016058
18,2022/7/17,20779.34375,-0.003888002
19,2022/7/24,22609.16406,0.088059581
20,2022/7/31,23336.89648,0.032187498
21,2022/8/7,23175.89063,-0.006899198
22,2022/8/14,24319.33398,0.049337623
23,2022/8/21,21534.12109,-0.114526693
24,2022/8/28,19616.81445,-0.089035751
25,2022/9/4,19986.71289,0.018856193
26,2022/9/11,21769.25586,0.0891864
27,2022/9/18,19419.50586,-0.107938922
28,2022/9/25,18802.09766,-0.031793198
29,2022/10/2,19044.10742,0.012871424
30,2022/10/9,19446.42578,0.021125609
31,2022/10/16,19268.09375,-0.009170427
32,2022/10/23,19567.00781,0.015513422
33,2022/10/30,20635.60352,0.054612116
34,2022/11/6,20926.48633,0.014096162
35,2022/11/13,16353.36523,-0.218532678
36,2022/11/20,16291.83203,-0.003762724
37,2022/11/27,16444.62695,0.009378621
38,2022/12/4,17130.48633,0.041707202
39,2022/12/11,17104.19336,-0.001534864
40,2022/12/18,16757.97656,-0.020241633
41,2022/12/25,16841.98633,0.005013121
42,2023/1/1,16625.08008,-0.0128789
43,2023/1/8,17091.14453,0.028033817
44,2023/1/15,20880.79883,0.221732037
45,2023/1/22,22720.41602,0.088100901
46,2023/1/29,23774.56641,0.046396615
47,2023/2/5,22955.66602,-0.034444388
48,2023/2/12,21788.20313,-0.050857287
49,2023/2/19,24327.64258,0.116551119
50,2023/2/26,23561.21289,-0.031504478
51,2023/3/5,22435.51367,-0.047777643
